t,U,j
0.0,-1.450693987851107,-0.24728929402798372
0.48702464574077453,-1.4458237413936992,-0.2216011000339722
1.7045751255558184,-1.4336482365955487,-0.18807038534297021
2.678624417037412,-1.4239077436807328,-0.16665785417373713
4.3832106771302115,-1.4068618810798048,-0.12313543605612154
5.600772291482192,-1.394686264936285,-0.088884532476591
8.522909031389947,-1.3654648975372075,-0.06176734464148467
10.227484156945765,-1.3484191462816493,-0.04393308789915295
12.41909506277934,-1.3265030372233135,-0.027527857616643985
16.07801524652146,-1.2899138353858923,-0.01467806865165727
18.756650798095762,-1.2631274798701493,-0.008253125241072325
21.6787986725405,-1.233906001125702,-0.0046862673688605125
25.331461246522522,-1.1973793753858817,-0.00041063716280945075
30.33146124652253,-1.1473793753858816,0.004914559830393271
30.688721215134283,-1.143806775699764,0.005305468676480985
35.071943026801385,-1.099974557583093,0.010289903835098643
40.07194302680139,-1.049974557583093,0.014015131607740181
40.435449470636264,-1.0463394931447443,0.014576983214566326
45.30567365897027,-0.9976372512614042,0.028844382084686232
49.86140285144356,-0.9520799593366713,0.040888586332068544
54.31560733610099,-0.907537914490097,0.05025691325391904
58.21180450202732,-0.8685759428308337,0.05310354961887498
62.351502856287055,-0.8271789592882364,0.0545325434599701
65.03012727332447,-0.8003927151178623,0.05596156991979285
66.97822585628765,-0.7809117292882304,0.056670374872359444
71.1241706857706,-0.739452280993401,0.062386513330377515
73.80280623734485,-0.7126659254776584,0.062386513330377515
76.96845530012304,-0.6810094348498765,0.061666259204393725
79.403578528827,-0.6566582025628369,0.05739062899834295
81.59517830012355,-0.6347422048498714,0.0545325434599701
83.5432657485498,-0.6152613303656089,0.0545325434599701
85.97840011179069,-0.5909099867331999,0.059528460410732294
88.41351220595772,-0.5665588657915297,0.06452431212403895
90.11809846605053,-0.5495130031906017,0.07094922291589598
91.5791612687359,-0.5349023751637478,0.07522488574067467
92.79672288308794,-0.5227267590202276,0.07879171099415885
94.99458026414453,-0.5007481852096616,0.07951196512014264
98.40373051525626,-0.4666566826985443,0.07236683282102944
101.81291416997871,-0.43256484615131985,0.0588196554581657
103.76100161840486,-0.41308397166705824,0.04596983387445135
106.68313835831266,-0.38386260426798025,0.03241123995689804
110.57933552423904,-0.3449006326087165,0.02527752421247442
114.71902274396184,-0.3035037604114885,0.021710666340262322
117.88468294127696,-0.2718471584383373,0.01957286754660089
119.10223342109205,-0.2596716536401864,0.01957286754660089
119.10223342109205,-0.2596716536401864,0.004585214550497199
119.34575687849937,-0.25723641906611316,-0.003977462416293918
121.22283938486137,-0.2760072441297332,-0.00934167742133269
124.38849958217651,-0.30766384610288444,-0.013412657729895727
127.86867704442626,-0.342465620725382,-0.01967388774623629
130.54730146146366,-0.3692518648957561,-0.02537860964956508
134.19998630451957,-0.4057787133263151,-0.031094682870127885
137.60914769016813,-0.43987032718280084,-0.03609059982089008
139.07021049285362,-0.4544809552096556,-0.0425040614393302
142.96639652424295,-0.49344281552354907,-0.0603497347363512
145.40777736270698,-0.5178566239081892,-0.07747518652611632
147.842889456874,-0.5422077448498595,-0.09031355893641375
151.25205084252266,-0.5762993587063461,-0.10814781567874547
151.98258781113384,-0.5836047283924577,-0.1195685455651821
153.93068639409702,-0.6030857142220896,-0.11386392151803619
156.36579848826403,-0.6274368351637598,-0.09388041680862586
159.28793522817185,-0.6566582025628378,-0.0781839914786832
162.21008310261658,-0.6858796813072852,-0.07105027573425958
166.5932937797467,-0.7297117880785864,-0.06676319635479161
171.5932937797467,-0.7797117880785864,-0.06736238807894888
171.95678908904463,-0.7833467411715658,-0.06748345048077539
176.09649857784134,-0.8247438360595329,-0.0696212166557092
181.09649857784134,-0.874743836059533,-0.07223824130044432
181.45375854645306,-0.8783164357456501,-0.07247930219408204
185.59345690071285,-0.9197134192882479,-0.07604616006629414
190.59345690071285,-0.969713419288248,-0.07183640628496518
191.1942403267319,-0.9757212535484383,-0.07105027573425958
194.8469029007139,-1.0122478792882585,-0.06462539756113017
198.7493465418634,-1.0512723156997534,-0.057491681816706545
201.42795982436382,-1.0780584485247577,-0.051787025150832736
203.376058407327,-1.0975394343543896,-0.04749994577136505
208.37605840732704,-1.1475394343543897,-0.046798767432951575
208.73331837593872,-1.1511120340405068,-0.046791140818798455
213.60356483334655,-1.1998144986145851,-0.046791140818798455
217.9867643759398,-1.2436464940405174,-0.046791140818798455
222.98676437593983,-1.2936464940405175,-0.04688405030796928
223.587536667422,-1.2996542169553393,-0.04749994577136505
226.27241869421945,-1.326503037223314,-0.0553538504043172
229.19455543412724,-1.355724404622392,-0.06105853968891808
231.38616633996082,-1.3776405136807277,-0.07033005422700342
234.0647907569982,-1.4044267578511014,-0.09317161185605898
235.769377017091,-1.4214726204520294,-0.11529294797785866
237.23045095431337,-1.436083359824253,-0.1388318613860639
238.4480014341284,-1.4482588646224035,-0.17237396001302727
239.1785384027396,-1.4555642343085156,-0.1944838795801377
239.9090753713508,-1.4628696039946276,-0.21589644336809868
240.63961233996199,-1.4701749736807392,-0.23944674071226557
240.88312466283236,-1.4726100969094431,-0.24942706020291724
243.07473556866597,-1.450693987851107,-0.24728929402798372
