t,U,j
0.0,-0.8504819888113122,-0.6311216167006052
0.025173224896475332,-0.8529993113009597,-0.46712509661261326
0.050346449792950665,-0.8504819888113122,-0.2531661068089599
0.07551819338867949,-0.8479648144517393,-0.06774193098886741
0.20137987396881663,-0.8353786463937256,0.06300492166946584
0.30354963039959326,-0.825161670750648,0.1556818249379451
0.4797488729681998,-0.8075417464937873,0.24128654557885823
0.7077803099791113,-0.7847386027926961,0.2864286497272552
0.9594962646356486,-0.7595670073270424,0.3173561586825012
1.2630384885315071,-0.7292127849374566,0.3268560676436927
1.6672691681110252,-0.6887897169795048,0.3007136978106095
2.096671591286272,-0.6458494746619801,0.25553639508613385
2.5966715912862726,-0.59584947466198,0.19874567892140702
2.804443013460902,-0.575072332444517,0.17946678198249075
3.158336131051951,-0.5396830206854122,0.15807436663000332
3.537393585734989,-0.5017772752171084,0.16521691854070356
3.815764066035121,-0.47394022718709516,0.2056090821430162
4.315764066035121,-0.4239402271870952,0.2973377252832816
4.320683201298299,-0.4234483136607774,0.2983211700530623
4.548708713106224,-0.40064576247998485,0.3482484133236223
4.724913880877817,-0.3830252457028256,0.36964082867610987
5.0032828798772,-0.3551883458028873,0.3743907831567056
5.281651878876583,-0.32735144590294896,0.34349845884302654
5.432685303052445,-0.3122481034853628,0.30071369781060936
5.635539071264644,-0.2919627266641429,0.22700149749550363
6.014602451150672,-0.25405638867554003,0.12243215750828626
6.241146662211485,-0.23140196756945874,0.07011223320055279
6.544688886107339,-0.20104774517987334,0.04397000271258463
6.8985745971946555,-0.16565917407114172,0.03922004823198904
7.3783219888621066,-0.11768443490439662,0.05111241527816986
7.807724412037351,-0.07474419258687215,0.0534699116737761
8.161611604425415,-0.03935547334806566,0.06775487615006143
8.364469816539852,-0.01906965213662204,0.0843973370219534
8.59101402760066,0.003584768969458807,0.13428940958545751
8.793872239715096,0.02387059018090243,0.24839384317543364
9.047069495118754,0.049190315721268085,0.38628321987544395
9.24844788778683,0.06932815498807576,0.47185275587479
9.400956687506818,0.08457903496007457,0.5170301282718233
9.677844385759084,0.11226780478530118,0.5526723234590287
9.905875822769996,0.13507094848639234,0.5740647527460278
10.082075065338602,0.152690872743253,0.5764572805035746
10.259761533857311,0.17045951959512395,0.5978496958560621
10.461139926525384,0.1905973588619312,0.6715267115296006
10.56330375775317,0.2008137419847098,0.6453844113690751
10.638820469841104,0.2083654131935031,0.5788147072266234
10.764680669120489,0.22095143312144172,0.46710280139419424
10.890536424497634,0.23353700865915616,0.37203337036816836
10.99270618092841,0.24375398430223383,0.293571215572467
11.194084573596482,0.26389182356904106,0.22700149749550377
11.5479702846838,0.2992803946777727,0.18421673646308662
11.826339283683183,0.327117294577711,0.16757426165668335
12.10470828268256,0.35495419447764887,0.16996687302129942
12.331259900247108,0.37760935623410363,0.20085912766242062
12.431948355930768,0.3876782018024696,0.2507864406055381
12.534112187158554,0.3978945849252482,0.33635597660488414
12.534112187158554,0.3978945849252482,0.1985017706119294
12.609622974043496,0.39034350623675396,0.03682743686737297
12.812481186157934,0.37005768502531033,-0.06063463339229202
13.141195153649523,0.3371862882761514,-0.10577673754068884
13.570599058125516,0.29424589782855204,-0.12956169458523475
13.974829737705035,0.25382282987060023,-0.1604539492263558
14.353887192388077,0.21591708440229596,-0.2056313076888776
14.682601159879662,0.18304568765313745,-0.25080852680628424
14.96097756538278,0.15520804710282565,-0.27695092450839043
15.212693520039315,0.13003645163717215,-0.27455836888182034
15.712693520039315,0.08003645163717213,-0.2557343561945271
15.719093956049614,0.07939640803614223,-0.25555852309041455
16.219093956049615,0.029396408036142227,-0.24533634445691707
16.274352134602008,0.023870590180902873,-0.24602355489825953
16.552727058804376,-0.003966902239334047,-0.2626659600321051
16.931785994788168,-0.041872795837713195,-0.2983433259263663
17.23532673738328,-0.07222687009722417,-0.3934127848214149
17.43669920484836,-0.09236411684373236,-0.45758984973022765
17.740247353947204,-0.12271893175361681,-0.49801721190861914
17.916446596515804,-0.14033885601047702,-0.4956247956271645
18.094133065034516,-0.15810750286234798,-0.4243402937766612
18.19482152071818,-0.16817634843071438,-0.336378132478188
18.320677276095324,-0.18076192396842883,-0.23652356232999894
18.47319051971756,-0.19601324833065226,-0.13195425021180454
18.877421199297082,-0.2364363162886045,-0.0701344866154372
19.377421199297082,-0.28643631628860455,-0.055736044627147784
19.50967739068452,-0.2996619354273484,-0.053492081481591354
19.98942478235197,-0.34763667459409353,-0.046349529570891265
20.393655461931488,-0.38805974255204534,-0.04874208519746105
20.87340285359894,-0.43603448171879045,-0.06538449033130689
21.202116821090524,-0.46890587846794896,-0.10577673754068855
21.606347500670044,-0.5093289464259008,-0.15095409600321033
21.83437745638021,-0.5321319419969173,-0.20323861271719237
22.1630914238718,-0.565003338746076,-0.27455836888182034
22.46515234702054,-0.5952094310609499,-0.3577705338961636
22.946381039435106,-0.6433323003024067,-0.44334000022295217
23.22326873768737,-0.6710210701276333,-0.48376736240134366
23.57715593007543,-0.7064097893664394,-0.5218023082982802
23.905869897567023,-0.7392811861155981,-0.5336596021789859
24.33527232074227,-0.7822214284331228,-0.5336596021789859
24.58847550134891,-0.8075417464937868,-0.5313021615214256
24.816501013156834,-0.8303442976745794,-0.5526945629394016
25.017877924524157,-0.8504819888113115,-0.6311216167006048
25.017877924524168,-0.8504819888113122,-0.6311216167006052
